gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
978683192													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS235256774	OBS235256774		obsr172418															PRESENT																												2012	06	28																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
978124693													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232699055	OBS232699055		obsr92296															PRESENT																												2009	05	15																Kazakhstan		Almaty oblysy			East of Almaty (including Charyn Canyon and a couple oasis)													43.37311	80.05737	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
968477533													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213979568	OBS213979568		obsr317743		1													PRESENT																												2007	10	30																Kazakhstan		Atyrau oblysy			Tengiz--TCOV (Formerly, Hungarian Camp) (restricted access)													46.305832	53.441387	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
968458171													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213980811	OBS213980811		obsr317743															PRESENT																												2008	01	27																Kazakhstan		Atyrau oblysy			Tengiz--TCOV (Formerly, Hungarian Camp) (restricted access)													46.305832	53.441387	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
968293900													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213948300	OBS213948300		obsr317743		3													PRESENT																												2006	11	26																Kazakhstan		Atyrau oblysy			Tengiz--West Evaporation Ponds (restricted access)													46.315	53.420834	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
959562407													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204572486	OBS204572486		obsr305809		2													PRESENT																												2010	06	20																Kazakhstan		Almaty			Almaty--General Area													43.222374	76.85197	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948715155													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192402581	OBS192402581		obsr341497															PRESENT																												2008	05	16																Kazakhstan		Qaraghandy oblysy			Dolinka													49.677402	72.673874	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948700884													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192398227	OBS192398227		obsr341497		4													PRESENT																												2008	05	13																Kazakhstan		Qaraghandy oblysy			Fedorovskoe Quarry													49.762638	73.10715	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948688937													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192392022	OBS192392022		obsr341497		7													PRESENT																												2007	09	15																Kazakhstan		Qaraghandy oblysy			Karkaraly NP--General Area													49.453842	75.426636	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948665848													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192428929	OBS192428929		obsr341497		4													PRESENT																												2008	05	20																Kazakhstan		Qaraghandy oblysy			Karaganda Central Park													49.804813	73.07736	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948659504													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192438571	OBS192438571		obsr341497		8													PRESENT																												2008	05	10																Kazakhstan		Qaraghandy oblysy			Bereznyaki													50.00079	72.68246	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948626164													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192452176	OBS192452176		obsr341497															PRESENT																												2007	09	02																Kazakhstan		Qaraghandy oblysy			Karaganda South													49.764885	73.155685	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
948623317													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192458773	OBS192458773		obsr341497															PRESENT																												2008	05	27																Kazakhstan		Almaty			Almaty--General Area													43.222374	76.85197	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
